country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Estonia,Renewable percentage,2014,Percentage,5.07,,total_electricity
"Ethiopia, incl. Eritrea",Renewable percentage,2014,Percentage,0,,total_electricity
Faeroe Islands,Renewable percentage,2014,Percentage,50.81,,total_electricity
French Guiana,Renewable percentage,2014,Percentage,60.55,,total_electricity
"Germany, Fed. R. (former)",Renewable percentage,2014,Percentage,0,,total_electricity
Greenland,Renewable percentage,2014,Percentage,68.35,,total_electricity
Guatemala,Renewable percentage,2014,Percentage,48.01,,total_electricity
Guinea,Renewable percentage,2014,Percentage,48.28,,total_electricity
Guyana,Renewable percentage,2014,Percentage,0.0,,total_electricity
Honduras,Renewable percentage,2014,Percentage,37.32,,total_electricity
Indonesia,Renewable percentage,2014,Percentage,13.05,,total_electricity
Israel,Renewable percentage,2014,Percentage,1.41,,total_electricity
Jamaica,Renewable percentage,2014,Percentage,6.16,,total_electricity
Jersey,Renewable percentage,2014,Percentage,0.0,,total_electricity
Kazakhstan,Renewable percentage,2014,Percentage,7.88,,total_electricity
Kenya,Renewable percentage,2014,Percentage,71.16,,total_electricity
Kuwait,Renewable percentage,2014,Percentage,0.0,,total_electricity
Lao People's Dem. Rep.,Renewable percentage,2014,Percentage,93.15,,total_electricity
Liberia,Renewable percentage,2014,Percentage,0.0,,total_electricity
Libya,Renewable percentage,2014,Percentage,0.0,,total_electricity
Malawi,Renewable percentage,2014,Percentage,91.37,,total_electricity
Malaysia,Renewable percentage,2014,Percentage,9.23,,total_electricity
Maldives,Renewable percentage,2014,Percentage,0.61,,total_electricity
Mauritania,Renewable percentage,2014,Percentage,0.0,,total_electricity
Mayotte,Renewable percentage,2014,Percentage,5.55,,total_electricity
Morocco,Renewable percentage,2014,Percentage,13.58,,total_electricity
Myanmar,Renewable percentage,2014,Percentage,62.37,,total_electricity
Namibia,Renewable percentage,2014,Percentage,99.13,,total_electricity
New Caledonia,Renewable percentage,2014,Percentage,13.35,,total_electricity
New Zealand,Renewable percentage,2014,Percentage,77.66,,total_electricity
Nicaragua,Renewable percentage,2014,Percentage,42.82,,total_electricity
Niue,Renewable percentage,2014,Percentage,2.07,,total_electricity
Panama,Renewable percentage,2014,Percentage,55.47,,total_electricity
Papua New Guinea,Renewable percentage,2014,Percentage,33.99,,total_electricity
Paraguay,Renewable percentage,2014,Percentage,99.99,,total_electricity
Sao Tome and Principe,Renewable percentage,2014,Percentage,10.45,,total_electricity
Senegal,Renewable percentage,2014,Percentage,0.12,,total_electricity
Seychelles,Renewable percentage,2014,Percentage,2.15,,total_electricity
Slovenia,Renewable percentage,2014,Percentage,74.54,,total_electricity
Solomon Islands,Renewable percentage,2014,Percentage,0.0,,total_electricity
Sri Lanka,Renewable percentage,2014,Percentage,37.76,,total_electricity
Sudan (former),Renewable percentage,2014,Percentage,0,,total_electricity
Suriname,Renewable percentage,2014,Percentage,36.48,,total_electricity
Togo,Renewable percentage,2014,Percentage,33.49,,total_electricity
Tonga,Renewable percentage,2014,Percentage,4.58,,total_electricity
Trinidad and Tobago,Renewable percentage,2014,Percentage,0.0,,total_electricity
United Rep. of Tanzania,Renewable percentage,2014,Percentage,41.94,,total_electricity
Venezuela (Bolivar. Rep.),Renewable percentage,2014,Percentage,68.26,,total_electricity
"Yugoslavia, SFR (former)",Renewable percentage,2014,Percentage,0,,total_electricity
Zambia,Renewable percentage,2014,Percentage,97.16,,total_electricity
Algeria,Renewable percentage,2014,Percentage,0.4,,total_electricity
Curaçao,Renewable percentage,2014,Percentage,3.59,,total_electricity
Gabon,Renewable percentage,2014,Percentage,33.67,,total_electricity
Malta,Renewable percentage,2014,Percentage,3.03,,total_electricity
Neth. Antilles (former),Renewable percentage,2014,Percentage,0,,total_electricity
Sierra Leone,Renewable percentage,2014,Percentage,65.36,,total_electricity
USSR (former),Renewable percentage,2014,Percentage,0,,total_electricity
Barbados,Renewable percentage,2014,Percentage,0.0,,total_electricity
Benin,Renewable percentage,2014,Percentage,0.0,,total_electricity
Chad,Renewable percentage,2014,Percentage,0.0,,total_electricity
Djibouti,Renewable percentage,2014,Percentage,0.0,,total_electricity
French Polynesia,Renewable percentage,2014,Percentage,31.72,,total_electricity
Ghana,Renewable percentage,2014,Percentage,63.83,,total_electricity
